date,symbol,exdate,cp_flag,strike_price,best_bid,best_offer,impl_volatility,mid,T
12/30/20,AAPL 210917C27500,9/17/21,C,27.5,106,106.65,0.87137,106.325,261
12/30/20,AAPL 210917C28750,9/17/21,C,28.75,104.75,105.4,0.847363,105.075,261
12/30/20,AAPL 210917C30000,9/17/21,C,30,103.5,104.15,0.824445,103.825,261
12/30/20,AAPL 210917C31250,9/17/21,C,31.25,102.25,102.9,0.802523,102.575,261
12/30/20,AAPL 210917C32500,9/17/21,C,32.5,101,101.65,0.781513,101.325,261
12/30/20,AAPL 210917C33750,9/17/21,C,33.75,99.8,100.4,0.776198,100.1,261
12/30/20,AAPL 210917C35000,9/17/21,C,35,98.55,99.2,0.770241,98.875,261
12/30/20,AAPL 210917C36250,9/17/21,C,36.25,97.3,97.95,0.750891,97.625,261
12/30/20,AAPL 210917C37500,9/17/21,C,37.5,96.05,96.7,0.732237,96.375,261
12/30/20,AAPL 210917C38750,9/17/21,C,38.75,94.8,95.45,0.714231,95.125,261
12/30/20,AAPL 210917C40000,9/17/21,C,40,93.55,94.2,0.696827,93.875,261
12/30/20,AAPL 210917C41250,9/17/21,C,41.25,92.35,92.95,0.691602,92.65,261
12/30/20,AAPL 210917C42500,9/17/21,C,42.5,91.1,91.75,0.685841,91.425,261
12/30/20,AAPL 210917C43750,9/17/21,C,43.75,89.85,90.5,0.669556,90.175,261
12/30/20,AAPL 210917C45000,9/17/21,C,45,88.6,89.25,0.653752,88.925,261
12/30/20,AAPL 210917C46250,9/17/21,C,46.25,87.4,88,0.647957,87.7,261
12/30/20,AAPL 210917C47500,9/17/21,C,47.5,86.15,86.8,0.639725,86.475,261
12/30/20,AAPL 210917C48750,9/17/21,C,48.75,84.9,85.55,0.6248,85.225,261
12/30/20,AAPL 210917C50000,9/17/21,C,50,83.65,84.3,0.610266,83.975,261
12/30/20,AAPL 210917C52500,9/17/21,C,52.5,81.2,81.85,0.594432,81.525,261
12/30/20,AAPL 210917C55000,9/17/21,C,55,78.75,79.4,0.578369,79.075,261
12/30/20,AAPL 210917C57500,9/17/21,C,57.5,76.5,76.95,0.581213,76.725,261
12/30/20,AAPL 210917C60000,9/17/21,C,60,73.9,74.5,0.55068,74.2,261
12/30/20,AAPL 210917C62500,9/17/21,C,62.5,71.45,72.05,0.533238,71.75,261
12/30/20,AAPL 210917C65000,9/17/21,C,65,69.05,69.6,0.519171,69.325,261
12/30/20,AAPL 210917C67500,9/17/21,C,67.5,66.65,67.2,0.508038,66.925,261
12/30/20,AAPL 210917C70000,9/17/21,C,70,64.25,64.8,0.49622,64.525,261
12/30/20,AAPL 210917C72500,9/17/21,C,72.5,61.9,62.4,0.486181,62.15,261
12/30/20,AAPL 210917C75000,9/17/21,C,75,59.55,60.05,0.476573,59.8,261
12/30/20,AAPL 210917C77500,9/17/21,C,77.5,57.2,57.7,0.466182,57.45,261
12/30/20,AAPL 210917C80000,9/17/21,C,80,54.85,55.4,0.456934,55.125,261
